Handle,Title,Pages,Page Width (cm),Page Height (cm),Image
"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)","Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235 pages)",235,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235).jpg"
"Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77)","Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77 pages)",77,11.7,16.19,"https://mural-api.onrender.com/static/thumbnails/firstpage/Dickens, Charles, Four Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton (77).jpg"
"Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49)","Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49 pages)",49,11.7,16.19,"https://mural-api.onrender.com/static/thumbnails/firstpage/Dickens, Charles, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (49).jpg"
"Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42)","Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42 pages)",42,11.7,16.19,"https://mural-api.onrender.com/static/thumbnails/firstpage/Dickens, Charles, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (42).jpg"
"Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)","Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57 pages)",58,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57).jpg"
"Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)","Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82 pages)",82,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82).jpg"
"Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)","Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87 pages)",87,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87).jpg"
"Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)","Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169 pages)",169,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169).jpg"
"Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)","Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60 pages)",60,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60).jpg"
"Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)","Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116 pages)",116,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116).jpg"
"Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)","Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75 pages)",75,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75).jpg"
"Hardy, Thomas, The Withered Arm, 1896 facsimile (42)","Hardy, Thomas, The Withered Arm, 1896 facsimile (42 pages)",42,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, The Withered Arm, 1896 facsimile (42).jpg"
"Hardy, Thomas, Wessex Tales, 1896 facsimile (297)","Hardy, Thomas, Wessex Tales, 1896 facsimile (297 pages)",297,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Hardy, Thomas, Wessex Tales, 1896 facsimile (297).jpg"
"Johnson, Samuel, Rasselas, 1960 facsimile (125)","Johnson, Samuel, Rasselas, 1960 facsimile (125 pages)",125,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Johnson, Samuel, Rasselas, 1960 facsimile (125).jpg"
"Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)","Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120 pages)",120,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120).jpg"
"Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)","Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89 pages)",89,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89).jpg"
"Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)","Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82 pages)",82,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82).jpg"
"Joyce, James, Dubliners, complete, 1914 facsimile (278)","Joyce, James, Dubliners, complete, 1914 facsimile (278 pages)",278,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Joyce, James, Dubliners, complete, 1914 facsimile (278).jpg"
"Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)","Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287 pages)",287,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287).jpg"
"Mansfield, Katherine, Prelude, 1921 facsimile (77)","Mansfield, Katherine, Prelude, 1921 facsimile (77 pages)",77,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Mansfield, Katherine, Prelude, 1921 facsimile (77).jpg"
"Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)","Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88 pages)",88,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88).jpg"
"Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)","Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124 pages)",124,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124).jpg"
"Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)","Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288 pages)",288,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288).jpg"
"Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)","Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77 pages)",77,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77).jpg"
"Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)","Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127 pages)",127,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127).jpg"
"Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)","Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161 pages)",161,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161).jpg"
"Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)","Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182 pages)",182,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182).jpg"
"Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85)","Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85 pages)",85,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85).jpg"
"Saki, HH Munro, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35)","Saki, HH Munro, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35 pages)",35,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35).jpg"
"Saki, HH Munro, Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)","Saki, HH Munro, Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81 pages)",81,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81).jpg"
"Saki, HH Munro, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)","Saki, HH Munro, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103 pages)",105,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103).jpg"
"Saki, HH Munro, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)","Saki, HH Munro, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153 pages)",153,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153).jpg"
"Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50)","Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50 pages)",50,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50).jpg"
"Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120)","Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120 pages)",120,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120).jpg"
"Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167)","Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167 pages)",167,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167).jpg"
"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)","Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63 pages)",63,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63).jpg"
"Voltaire, Candide, facsimile c. 1950 (244)","Voltaire, Candide, facsimile c. 1950 (244 pages)",244,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Voltaire, Candide, facsimile c. 1950 (244).jpg"
"Voltaire, Candide, Part One, facsimile c. 1950 (159)","Voltaire, Candide, Part One, facsimile c. 1950 (159 pages)",159,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Voltaire, Candide, Part One, facsimile c. 1950 (159).jpg"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31 pages)",31,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31).jpg"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55 pages)",55,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55).jpg"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42 pages)",42,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42).jpg"
"Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65)","Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65 pages)",65,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65).jpg"
"Wells, HG, 4 Stories from the collection The Stolen Bacillus, the title story and three others,1895 facsimile (95)","Wells, HG, 4 Stories from the collection The Stolen Bacillus, the title story and three others,1895 facsimile (95 pages)",95,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wells, HG, 4 Stories from the collection The Stolen Bacillus, the title story, In the Avu Observatory, Triumphs of a Taxidermist and Through a Window,1895 facsimile (95)"
"Wells, HG, 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186)","Wells, HG, 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186 pages)",186,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wells, HG, 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186).jpg"
"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)","Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163 pages)",163,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163).jpg"
"Wilde, Oscar, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118)","Wilde, Oscar, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118 pages)",118,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118).jpg"
"Wilde, Oscar, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81)","Wilde, Oscar, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81 pages)",81,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81).jpg"
"Wilde, Oscar, The Happy Prince, 1908 facsimile (23)","Wilde, Oscar, The Happy Prince, 1908 facsimile (23 pages)",23,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, The Happy Prince, 1908 facsimile (23).jpg"
"Wilde, Oscar, The Nightingale and the Rose, 1908 facsimile (15)","Wilde, Oscar, The Nightingale and the Rose, 1908 facsimile (15 pages)",15,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, The Nightingale and the Rose, 1908 facsimile (15).jpg"
"Wilde, Oscar, The Selfish Giant, 1908 facsimile (11)","Wilde, Oscar, The Selfish Giant, 1908 facsimile (11 pages)",11,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, The Selfish Giant, 1908 facsimile (11).jpg"
"Wilde, Oscar, The Star Child, 1908 facsimile (37)","Wilde, Oscar, The Star Child, 1908 facsimile (37 pages)",37,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, The Star Child, 1908 facsimile (37).jpg"
"Wilde, Oscar, The Young King, 1908 facsimile (32)","Wilde, Oscar, The Young King, 1908 facsimile (32 pages)",32,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, The Young King, 1908 facsimile (32).jpg"
"Wilde, Oscar, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49)","Wilde, Oscar, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49 pages)",49,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49).jpg"
"Wilde, Oscar, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34)","Wilde, Oscar, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34 pages)",34,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wilde, Oscar, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34).jpg"
"Wodehouse, PG, 11 PG Wodehouse stories, featuring 7 Blandings stories and 4 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (281)","Wodehouse, PG, 11 PG Wodehouse stories, featuring 7 Blandings stories and 4 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (281 pages)",281,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wodehouse, PG, 11 PG Wodehouse stories, featuring 7 Blandings stories and 4 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (281).jpg"
"Wodehouse, PG, 2 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, 1935 facsimile (45)","Wodehouse, PG, 2 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, 1935 facsimile (45 pages)",45,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wodehouse, PG, 2 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, 1935 facsimile (45).jpg"
"Wodehouse, PG, 2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58)","Wodehouse, PG, 2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58 pages)",58,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wodehouse, PG, 2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58).jpg"
"Wodehouse, PG, 3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85)","Wodehouse, PG, 3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85 pages)",85,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wodehouse, PG, 3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85).jpg"
"Wodehouse, PG, 4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110)","Wodehouse, PG, 4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110 pages)",110,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wodehouse, PG, 4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110).jpg"
"Wodehouse, PG, 4 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (91)","Wodehouse, PG, 4 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (91 pages)",91,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wodehouse, PG, 4 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (91).jpg"
"Wodehouse, PG, 5 Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136)","Wodehouse, PG, 5 Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136 pages)",136,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wodehouse, PG, 5 Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136).jpg"
"Wodehouse, PG, 7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191)","Wodehouse, PG, 7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191 pages)",191,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wodehouse, PG, 7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191).jpg"
"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)","Woolf, Virginia, A Room of One's Own, 1935 facsimile (172 pages)",172,11.7,18.9,"https://mural-api.onrender.com/static/thumbnails/firstpage/Woolf, Virginia, A Room of One's Own, 1935 facsimile (172).jpg"
"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)","Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296 pages)",296,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296).jpg"
