Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,Image Alt Text
"Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50)","Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-chronicles-of-clovis-including-tobermory-the-jesting-of-arlington-stringham-mrs-packletides-tiger-and-six-others-1939-facsimile-50.jpg?v=1760531284,"Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50 pages)"
"Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120)","Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-bull-the-hedgehog-tea-and-20-others-1939-facsimile-120.jpg?v=1760531292,"Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120 pages)"
"Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167)","Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-seven-cream-jugs-the-bull-the-hedgehog-and-29-others-1939-facsimile-167.jpg?v=1760531313,"Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167 pages)"
"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)","Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-chapters-1-13-facsimile-c-1950-63.jpg?v=1760531320,"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63 pages)"
"Voltaire, Candide, facsimile c. 1950 (244)","Voltaire, Candide, facsimile c. 1950 (244 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-facsimile-c-1950-244.jpg?v=1760531327,"Voltaire, Candide, facsimile c. 1950 (244 pages)"
"Voltaire, Candide, Part One, facsimile c. 1950 (159)","Voltaire, Candide, Part One, facsimile c. 1950 (159 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-part-one-facsimile-c-1950-159.jpg?v=1760531333,"Voltaire, Candide, Part One, facsimile c. 1950 (159 pages)"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-temptation-of-harringay-and-the-flying-man-1895-facsimile-31.jpg?v=1760531341,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31 pages)"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-title-story-and-in-the-avu-observatory-1895-facsimile-55.jpg?v=1760531348,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55 pages)"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-triumphs-of-a-taxidermist-and-through-a-window-1895-facsimile-42.jpg?v=1760531355,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42 pages)"
"Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65)","Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-3-stories-from-the-collection-the-stolen-bacillus-the-hammerpond-park-burglary-a-moth-genus-novo-the-treasure-in-the-forest-1895-facsimile-65.jpg?v=1760531363,"Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65 pages)"
"Wells, HG, 4 Stories from the collection The Stolen Bacillus, the title story and three others,1895 facsimile (95)","Wells, HG, 4 Stories from the collection The Stolen Bacillus, the title story and three others,1895 facsimile (95 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,"https://mural-api.onrender.com/static/thumbnails/firstpage/Wells, HG, 4 Stories from the collection The Stolen Bacillus, the title story, In the Avu Observatory, Triumphs of a Taxidermist and Through a Window,1895 facsimile (95)","Wells, HG, 4 Stories from the collection The Stolen Bacillus, the title story and three others,1895 facsimile (95 pages)"
"Wells, HG, 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186)","Wells, HG, 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-9-stories-from-the-collection-the-stolen-bacillus-1895-facsimile-186.jpg?v=1760531370,"Wells, HG, 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186 pages)"
"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)","Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-lord-arthur-saviles-crime-and-3-other-stories-1891-facsimile-163.jpg?v=1760531377,"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163 pages)"
"Wilde, Oscar, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118)","Wilde, Oscar, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-five-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-the-young-king-the-star-child-1908-facsimile-118.jpg?v=1760531384,"Wilde, Oscar, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118 pages)"
"Wilde, Oscar, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81)","Wilde, Oscar, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-four-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-the-young-king-1908-facsimile-81.jpg?v=1760531391,"Wilde, Oscar, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81 pages)"
"Wilde, Oscar, The Happy Prince, 1908 facsimile (23)","Wilde, Oscar, The Happy Prince, 1908 facsimile (23 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-happy-prince-1908-facsimile-23.jpg?v=1760531397,"Wilde, Oscar, The Happy Prince, 1908 facsimile (23 pages)"
"Wilde, Oscar, The Nightingale and the Rose, 1908 facsimile (15)","Wilde, Oscar, The Nightingale and the Rose, 1908 facsimile (15 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-nightingale-and-the-rose-1908-facsimile-15.jpg?v=1760531403,"Wilde, Oscar, The Nightingale and the Rose, 1908 facsimile (15 pages)"
"Wilde, Oscar, The Selfish Giant, 1908 facsimile (11)","Wilde, Oscar, The Selfish Giant, 1908 facsimile (11 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-selfish-giant-1908-facsimile-11.jpg?v=1760531409,"Wilde, Oscar, The Selfish Giant, 1908 facsimile (11 pages)"
"Wilde, Oscar, The Star Child, 1908 facsimile (37)","Wilde, Oscar, The Star Child, 1908 facsimile (37 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-star-child-1908-facsimile-37.jpg?v=1760531416,"Wilde, Oscar, The Star Child, 1908 facsimile (37 pages)"
"Wilde, Oscar, The Young King, 1908 facsimile (32)","Wilde, Oscar, The Young King, 1908 facsimile (32 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-young-king-1908-facsimile-32.jpg?v=1760531423,"Wilde, Oscar, The Young King, 1908 facsimile (32 pages)"
"Wilde, Oscar, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49)","Wilde, Oscar, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-three-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-1908-facsimile-49.jpg?v=1760531429,"Wilde, Oscar, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49 pages)"
"Wilde, Oscar, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34)","Wilde, Oscar, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-two-stories-the-happy-prince-the-selfish-giant-1908-facsimile-34.jpg?v=1760531435,"Wilde, Oscar, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34 pages)"
"Wodehouse, PG, 11 PG Wodehouse stories, featuring 7 Blandings stories and 4 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (281)","Wodehouse, PG, 11 PG Wodehouse stories, featuring 7 Blandings stories and 4 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (281 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-11-pg-wodehouse-stories-featuring-7-blandings-stories-and-4-mr-mulliner-stories-from-the-volume-blandings-castle-1935-facsimile-281.jpg?v=1760531443,"Wodehouse, PG, 11 PG Wodehouse stories, featuring 7 Blandings stories and 4 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (281 pages)"
"Wodehouse, PG, 2 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, 1935 facsimile (45)","Wodehouse, PG, 2 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, 1935 facsimile (45 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-2-selected-mr-mulliner-stories-the-nodder-the-juice-of-an-orange-1935-facsimile-45.jpg?v=1760531450,"Wodehouse, PG, 2 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, 1935 facsimile (45 pages)"
"Wodehouse, PG, 2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58)","Wodehouse, PG, 2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-2-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-1935-facsimile-58.jpg?v=1760531458,"Wodehouse, PG, 2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58 pages)"
"Wodehouse, PG, 3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85)","Wodehouse, PG, 3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-3-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-1935-facsimile-85.jpg?v=1760531466,"Wodehouse, PG, 3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85 pages)"
"Wodehouse, PG, 4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110)","Wodehouse, PG, 4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-4-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-company-for-gertrude-1935-facsimile-110.jpg?v=1760531473,"Wodehouse, PG, 4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110 pages)"
"Wodehouse, PG, 4 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (91)","Wodehouse, PG, 4 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (91 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-4-selected-mr-mulliner-stories-the-nodder-the-juice-of-an-orange-the-rise-of-minna-nordstrom-the-castaways-1935-facsimile-91.jpg?v=1760531481,"Wodehouse, PG, 4 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (91 pages)"
"Wodehouse, PG, 5 Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136)","Wodehouse, PG, 5 Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-5-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-company-for-gertrude-the-go-getter-1935-facsimile-136.jpg?v=1760531488,"Wodehouse, PG, 5 Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136 pages)"
"Wodehouse, PG, 7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191)","Wodehouse, PG, 7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-7-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-and-4-more-1935-facsimile-191.jpg?v=1760531495,"Wodehouse, PG, 7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191 pages)"
"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)","Woolf, Virginia, A Room of One's Own, 1935 facsimile (172 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/woolf-virginia-a-room-of-ones-own-1935-facsimile-172.jpg?v=1760531502,"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172 pages)"
"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)","Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/woolf-virginia-mrs-dalloway-1925-facsimile-296.jpg?v=1760531510,"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296 pages)"
