Folder Name,Total Pages,Mode Dimensions (cm),Min Page Dimensions,Max Page Dimensions,Min Area (cm²),Max Area (cm²),DPI
"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",235,12.25x20.0 cm,10.78x17.6,13.72x22.4,44586.08,72222.08,600.0
"Charles Dickens, Five Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton, A Message from the Sea, facsimile (125)",126,13.0x17.53 cm,11.44x15.43,14.56x19.63,22241.42,36012.41,600.0
"Charles Dickens, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (48)",49,13.0x17.57 cm,11.44x15.46,14.56x19.68,8666.26,14040.5,600.0
"Charles Dickens, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (39)",42,12.99x17.56 cm,11.43x15.45,14.55x19.67,7416.93,12020.34,600.0
"Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)",60,12.99x19.2 cm,11.43x16.9,14.55x21.5,11590.02,18769.5,600.0
"Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)",84,12.99x19.2 cm,11.43x16.9,14.55x21.5,16226.03,26277.3,600.0
"Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)",87,12.99x19.2 cm,11.43x16.9,14.55x21.5,16805.53,27215.77,600.0
"Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)",169,12.99x19.2 cm,11.43x16.9,14.55x21.5,32645.22,52867.42,600.0
"Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)",60,12.73x19.99 cm,11.2x17.59,14.26x22.39,11820.48,19156.88,600.0
"Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)",116,12.73x19.99 cm,11.2x17.59,14.26x22.39,22852.93,37036.64,600.0
"Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)",75,12.73x19.99 cm,11.2x17.59,14.26x22.39,14775.6,23946.11,600.0
"Hardy, Thomas, The Withered Arm, 1896 facsimile (42)",42,12.73x19.99 cm,11.2x17.59,14.26x22.39,8274.34,13409.82,600.0
"Hardy, Thomas, Wessex Tales, 1896 facsimile (297)",297,12.73x19.99 cm,11.2x17.59,14.26x22.39,58511.38,94826.58,600.0
"Johnson, Samuel, Rasselas, 1960 facsimile (125)",125,12.08x19.99 cm,10.63x17.59,13.53x22.39,23372.71,37867.09,600.0
"Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)",120,13.0x18.84 cm,11.44x16.58,14.56x21.1,22761.02,36865.92,600.0
"Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)",89,13.0x18.84 cm,11.44x16.58,14.56x21.1,16881.09,27342.22,600.0
"Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)",82,13.0x18.84 cm,11.44x16.58,14.56x21.1,15553.37,25191.71,600.0
"Joyce, James, Dubliners, complete, 1914 facsimile (278)",278,13.0x18.84 cm,11.44x16.58,14.56x21.1,52729.71,85406.05,600.0
"Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)",287,12.76x19.99 cm,11.23x17.59,14.29x22.39,56692.75,91826.54,600.0
"Mansfield, Katherine, Prelude, 1921 facsimile (77)",77,12.76x19.99 cm,11.23x17.59,14.29x22.39,15210.25,24636.39,600.0
"Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)",88,12.76x19.99 cm,11.23x17.59,14.29x22.39,17383.14,28155.87,600.0
"Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)",124,12.76x19.99 cm,11.23x17.59,14.29x22.39,24494.43,39674.18,600.0
"Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)",288,12.22x20.0 cm,10.75x17.6,13.69x22.4,54489.6,88316.93,600.0
"Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)",77,12.22x20.0 cm,10.75x17.6,13.69x22.4,14568.4,23612.51,600.0
"Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)",127,12.22x20.0 cm,10.75x17.6,13.69x22.4,24028.4,38945.31,600.0
"Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)",161,12.22x20.0 cm,10.75x17.6,13.69x22.4,30461.2,49371.62,600.0
"Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)",81,12.55x19.49 cm,11.04x17.15,14.06x21.83,15336.22,24861.31,600.0
"Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)",182,13.01x20.57 cm,11.45x18.1,14.57x23.04,37718.59,61096.09,600.0
"Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85)",85,13.01x20.57 cm,11.45x18.1,14.57x23.04,17615.83,28533.89,600.0
"Saki Stories, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35)",35,13.01x20.57 cm,11.45x18.1,14.57x23.04,7253.57,11749.25,600.0
"Saki stories, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)",105,13.01x20.57 cm,11.45x18.1,14.57x23.04,21760.73,35247.74,600.0
"Saki stories, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)",153,13.01x20.57 cm,11.45x18.1,14.57x23.04,31708.49,51361.0,600.0
"Saki stories, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50)",50,13.01x20.57 cm,11.45x18.1,14.57x23.04,10362.25,16784.64,600.0
"Saki stories, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120)",120,13.01x20.57 cm,11.45x18.1,14.57x23.04,24869.4,40283.14,600.0
"Saki stories, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167)",167,13.01x20.57 cm,11.45x18.1,14.57x23.04,34609.92,56060.7,600.0
"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)",63,12.18x19.99 cm,10.72x17.59,13.64x22.39,11879.58,19240.17,600.0
"Voltaire, Candide, facsimile c. 1950 (244)",244,12.18x19.99 cm,10.72x17.59,13.64x22.39,46009.81,74517.5,600.0
"Voltaire, Candide, Part One, facsimile c. 1950 (159)",159,12.18x19.99 cm,10.72x17.59,13.64x22.39,29981.8,48558.54,600.0
"Wells HG 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)",31,12.29x20.0 cm,10.82x17.6,13.76x22.4,5903.39,9554.94,600.0
"Wells HG 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)",55,12.29x20.0 cm,10.82x17.6,13.76x22.4,10473.76,16952.32,600.0
"Wells HG 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)",42,12.29x20.0 cm,10.82x17.6,13.76x22.4,7998.14,12945.41,600.0
"Wells HG 4 Stories from the collection The Stolen Bacillus, the title story, In the Avu Observatory, Triumphs of a Taxidermist and Through a Window,1895 facsimile (95)",95,12.29x20.0 cm,10.82x17.6,13.76x22.4,18091.04,29281.28,600.0
"Wells, HG 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186)",186,12.29x20.0 cm,10.82x17.6,13.76x22.4,35420.35,57329.66,600.0
"Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65)",65,12.29x20.0 cm,10.82x17.6,13.76x22.4,12378.08,20034.56,600.0
"Wells, HG The Time Machine, 1946 Penguin facsimile (100)",100,11.39x20.0 cm,10.02x17.6,12.76x22.4,17635.2,28582.4,600.0
"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)",163,12.78x19.99 cm,11.25x17.59,14.31x22.39,32255.66,52225.35,600.0
"Oscar Wilde, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118)",118,13.0x19.75 cm,11.44x17.38,14.56x22.12,23461.61,38003.93,600.0
"Oscar Wilde, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81)",81,13.0x19.75 cm,11.44x17.38,14.56x22.12,16105.0,26087.44,600.0
"Oscar Wilde, The Happy Prince, 1908 facsimile (23)",23,13.0x19.75 cm,11.44x17.38,14.56x22.12,4573.03,7407.55,600.0
"Oscar Wilde, The Nightingale and the Rose, 1908 facsimile (15)",15,12.28x20.0 cm,10.81x17.6,13.75x22.4,2853.84,4620.0,600.0
"Oscar Wilde, The Selfish Giant, 1908 facsimile (11)",11,12.28x20.0 cm,10.81x17.6,13.75x22.4,2092.82,3388.0,600.0
"Oscar Wilde, The Star Child, 1908 facsimile (37)",37,12.28x20.0 cm,10.81x17.6,13.75x22.4,7039.47,11396.0,600.0
"Oscar Wilde, The Young King, 1908 facsimile (32)",32,12.28x20.0 cm,10.81x17.6,13.75x22.4,6088.19,9856.0,600.0
"Oscar Wilde, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49)",49,13.0x19.75 cm,11.44x17.38,14.56x22.12,9742.53,15781.29,600.0
"Oscar Wilde, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34)",34,13.0x19.75 cm,11.44x17.38,14.56x22.12,6760.12,10950.28,600.0
"12 PG Wodehouse stories, featuring 7 Blandings stories and 5 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (307)",307,12.99x18.85 cm,11.43x16.59,14.55x21.11,58214.48,94295.2,600.0
"2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58)",58,13.0x18.86 cm,11.44x16.6,14.56x21.12,11014.43,17835.42,600.0
"3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85)",85,13.0x18.86 cm,11.44x16.6,14.56x21.12,16141.84,26138.11,600.0
"4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110)",110,13.0x18.86 cm,11.44x16.6,14.56x21.12,20889.44,33825.79,600.0
"5 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136)",136,13.0x18.86 cm,11.44x16.6,14.56x21.12,25826.94,41820.98,600.0
"7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191)",191,13.0x18.86 cm,11.44x16.6,14.56x21.12,36271.66,58733.88,600.0
"PG Wodehouse, 3 selected Mr Mulliner Stories, Monkey Business, The Nodder, The Juice of an Orange, 1935 facsimile (67)",67,12.99x18.85 cm,11.43x16.59,14.55x21.11,12704.79,20579.08,600.0
"PG Wodehouse, 5 selected Mr Mulliner Stories, Monkey Business, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (113)",113,12.99x18.85 cm,11.43x16.59,14.55x21.11,21427.48,34708.01,600.0
"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)",172,13.19x21.17 cm,11.61x18.63,14.77x23.71,37202.62,60233.83,600.0
"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)",296,12.51x20.0 cm,11.01x17.6,14.01x22.4,57357.7,92891.9,600.0
